Ranking,Title,Year,Genre,Score,Actor,Link
#65,Raising Dion,2019,"Drama, Sci-Fi",96%,"AlishaWainwright,Ja'SiahYoung,JazmynSimon,SammiHaney",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/raising_dion
#66,The Fall of the House of Usher,2023,"Drama, Horror, Mystery",62%,"BruceGreenwood,CarlaGugino,MaryMcDonnell,CarlLumbly",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_fall_of_the_house_of_usher
#67,The Lincoln Lawyer,2022,"Crime, Drama, Mystery",96%,"ManuelGarc√≠a-Rulfo,BeckiNewton,JazzRaycole,AngusSampson",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_lincoln_lawyer
#68,House,2004,"Drama, Mystery",90%,"HughLaurie,RobertSeanLeonard,OmarEpps,JesseSpencer",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/house
#69,The Flash,2014,"Action, Adventure, Drama",96%,"GrantGustin,CandicePatton,DaniellePanabaker,DanielleNicolet",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_flash
#70,Squid Game,2021,"Thriller, Drama, Survival",89%,"LeeJung-jae,WiHa-joon,LeeByung-hun,ImSi-wan",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/squid_game
#71,Seinfeld,1989,"Sitcom, Comedy",96%,"JerrySeinfeld,JuliaLouis-Dreyfus,JasonAlexander,MichaelRichards",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/seinfeld
#72,The Diplomat,2023,"Political Drama, Thriller",85%,"KeriRussell,RufusSewell,DavidGyasi,AliAhn",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_diplomat
#73,All of Us Are Dead,2022,"Horror, Zombie, Teen Drama",95%,"ParkJi-hu,YoonChan-Young,ChoYi-hyun,Lomon",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/all_of_us_are_dead
#74,Community,2009,"Sitcom, Comedy",94%,"JoelMcHale,GillianJacobs,DannyPudi,AlisonBrie",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/community
#75,The Sandman,2022,"Fantasy, Drama",95%,"TomSturridge,GwendolineChristie,VivienneAcheampong,BoydHolbrook",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_sandman
#76,Dead to Me,2019,"Dark Comedy, Drama",77%,"ChristinaApplegate,LindaCardellini,JamesMarsden,MaxJenkins",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/dead_to_me
#77,The Walking Dead: The Ones Who Live,2024,"Post-Apocalyptic, Drama, Horror",95%,"AndrewLincoln,DanaiGurira,PollyannaMcIntosh,Lesley-AnnBrandt",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_walking_dead_the_ones_who_live
#78,The Haunting of Bly Manor,2020,"Gothic Horror, Drama",52%,"VictoriaPedretti,OliverJackson-Cohen,HenryThomas,AmeliaEve",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_haunting_of_bly_manor
#79,Delhi Crime,2019,"Crime, Drama",94%,"ShefaliShetty,RajeshTailang,RasikaDugal,AdilHussain",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/delhi_crime
#80,Midnight Mass,2021,"Horror, Supernatural, Drama",74%,"ZachGilford,KateSiegel,HamishLinklater,AnnabethGish",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/midnight_mass
#81,A Discovery of Witches,2018,"Fantasy, Romance, Drama",94%,"MatthewGoode,TeresaPalmer,AlexKingston,ValariePettiford",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/a_discovery_of_witches
#82,Boy Swallows Universe,2024,"Coming-of-Age, Drama",64%,"TravisFimmel,PhoebeTonkin,SimonBaker,FelixCameron",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/boy_swallows_universe
#83,Ripley,2024,"Psychological Thriller, Crime",94%,"AndrewScott,DakotaFanning,JohnnyFlynn,MaurizioLombardi",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/ripley
#84,"Love, Death + Robots",2019,"Animation, Sci-Fi, Anthology",73%,NA,https://www.rottentomatoes.com//www.rottentomatoes.com/tv/love_death_robots
#85,Griselda,2024,"Crime, Drama, Biography",94%,"Sofía Vergara , Alberto Guerra , Christian Tappán , Martín Rodríguez",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/griselda
#86,Gangs of London,2020,"Crime, Action, Drama",87%,"SopeDirisu,JoeCole,ColmMeaney,LucianMsamati",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/gangs_of_london
#87,Terminator Zero,2024,"Sci-Fi, Action, Animation",94%,"Timothy Olyphant , André Holland , Sumalee Montano , Armani Jackson",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/terminator_zero
#88,From Scratch,2022,"Romance, Drama",94%,"Zoe Saldaña , Eugenio Mastrandrea , Danielle Deadwyler , Keith DavidIñaki Godoy , Mackenyu , Emily Rudd , Jacob Romero Gibson",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/from_scratch
#89,One Piece,2023,"Adventure, Fantasy, Action",94%,"Iñaki Godoy , Mackenyu , Emily Rudd , Jacob Romero Gibson",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/one_piece_2023
#90,The Midnight Club,2022,"Horror, Mystery, Drama",96%,"ImanBenson,IgbyRigney,RuthCodd,AnnarahShephard",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_midnight_club
#91,Survival of the Thickest,2023,"Comedy, Drama",94%,"MichelleButeau,ToneBell",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/survival_of_the_thickest
#92,Bridgerton,2020,"Romance, Period Drama",90%,"NicolaCoughlan,LukeNewton,ClaudiaJessie,LukeThompson",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/bridgerton
#93,Grey's Anatomy,2005,"Medical Drama, Romance",94%,"EllenPompeo,ChandraWilson,JamesPickensJr.,KevinMcKidd",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/greys_anatomy
#94,Into the Badlands,2015,"Action, Martial Arts, Sci-Fi",86%,"DanielWu,AramisKnight,AllyIoannides,MadeleineMantock",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/into_the_badlands
#95,Warrior Nun,2020,"Fantasy, Action, Drama",93%,"AlbaBaptista,ToyaTurner,TheklaReuten,LorenaAndrea",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/warrior_nun
#96,The Brothers Sun,2024,"Action, Comedy, Crime",96%,"MichelleYeoh,JustinChien,SamLi,HighdeeKuan",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/the_brothers_sun
#97,Black Mirror,2011,"Sci-Fi, Anthology, Thriller",93%,AnjanaVasan,https://www.rottentomatoes.com//www.rottentomatoes.com/tv/black_mirror
#98,Shadow and Bone,2021,"Fantasy, Adventure, Drama",78%,"JessieMeiLi,ArchieRenaux,BenBarnes,FreddyCarter",https://www.rottentomatoes.com//www.rottentomatoes.com/tv/shadow_and_bone
